method,attack,class_name,mean_acc_pct,sd_acc_pct,n_seeds
DDN-AT,tpgd,deer,50.62,1.7935997323817847,5
DDN-AT,tpgd,dog,50.980000000000004,2.2554378732299445,5
DDN-AT,tpgd,frog,61.1,1.2328828005937957,5
DDN-AT,tpgd,horse,67.76,0.6188699378706327,5
DDN-AT,tpgd,ship,67.42,1.4771594362153295,5
DDN-AT,tpgd,truck,67.9,1.8947295321496356,5
Multi-AT,cw_l2,airplane,74.0,0.8124038404635987,5
Multi-AT,cw_l2,automobile,84.88,1.1233877335986888,5
Multi-AT,cw_l2,bird,51.279999999999994,1.0986355173577846,5
Multi-AT,cw_l2,cat,35.760000000000005,4.798749837197181,5
Multi-AT,cw_l2,deer,52.08,1.1819475453673902,5
Multi-AT,cw_l2,dog,57.86,2.2733235581412514,5
Multi-AT,cw_l2,frog,74.38,2.963443942442646,5
Multi-AT,cw_l2,horse,77.36,0.7368853370776248,5
Multi-AT,cw_l2,ship,85.41999999999999,0.8258329128825065,5
Multi-AT,cw_l2,truck,80.58000000000001,0.7918333157931626,5
Multi-AT,ddn_l2,airplane,72.3,0.6964194138592078,5
Multi-AT,ddn_l2,automobile,83.35999999999999,1.1216059914248027,5
Multi-AT,ddn_l2,bird,51.42,1.075639344761987,5
Multi-AT,ddn_l2,cat,36.739999999999995,4.746893721161242,5
Multi-AT,ddn_l2,deer,52.67999999999999,1.4096098751072945,5
Multi-AT,ddn_l2,dog,57.339999999999996,2.034207462379387,5
Multi-AT,ddn_l2,frog,74.44,2.897067482817757,5
Multi-AT,ddn_l2,horse,76.82000000000001,0.6220932405998324,5
Multi-AT,ddn_l2,ship,83.96,0.6985699678629202,5
Multi-AT,ddn_l2,truck,79.18,0.903880523078129,5
Multi-AT,deepfool_l2,airplane,73.47999999999999,0.9121403400793149,5
Multi-AT,deepfool_l2,automobile,84.05999999999999,1.2641202474448379,5
Multi-AT,deepfool_l2,bird,51.98,1.3773162309360898,5
Multi-AT,deepfool_l2,cat,36.739999999999995,4.7783888498112,5
Multi-AT,deepfool_l2,deer,53.220000000000006,1.5023315213360886,5
Multi-AT,deepfool_l2,dog,58.08,1.8886503117305773,5
Multi-AT,deepfool_l2,frog,74.44,3.092410063364819,5
Multi-AT,deepfool_l2,horse,77.28,0.80124902496041,5
Multi-AT,deepfool_l2,ship,84.7,0.99498743710662,5
Multi-AT,deepfool_l2,truck,80.24000000000001,1.0644247272588085,5
Multi-AT,fgsm_rs,airplane,75.16,0.7503332592921635,5
Multi-AT,fgsm_rs,automobile,84.84,1.1371015785759873,5
Multi-AT,fgsm_rs,bird,52.5,1.0747092630102375,5
Multi-AT,fgsm_rs,cat,39.239999999999995,4.587809935034364,5
Multi-AT,fgsm_rs,deer,55.6,1.798610574860491,5
Multi-AT,fgsm_rs,dog,58.9,1.7421251390184316,5
Multi-AT,fgsm_rs,frog,75.67999999999999,2.4873680869545636,5
Multi-AT,fgsm_rs,horse,77.2,0.458257569495583,5
Multi-AT,fgsm_rs,ship,85.2,0.997496867162998,5
Multi-AT,fgsm_rs,truck,80.97999999999999,0.9148770409186092,5
Multi-AT,mifgsm,airplane,56.02,0.9176055797563529,5
Multi-AT,mifgsm,automobile,68.12,0.9884331034521215,5
Multi-AT,mifgsm,bird,30.74,1.2700393694685215,5
Multi-AT,mifgsm,cat,17.419999999999998,2.618587405453558,5
Multi-AT,mifgsm,deer,26.76,1.390323703315167,5
Multi-AT,mifgsm,dog,38.5,1.9962464777677114,5
Multi-AT,mifgsm,frog,49.279999999999994,3.473039015041441,5
Multi-AT,mifgsm,horse,59.120000000000005,0.8228000972289665,5
Multi-AT,mifgsm,ship,66.1,1.9710403344427017,5
Multi-AT,mifgsm,truck,61.3,1.9634153916071866,5
Multi-AT,pgd20_ce,airplane,54.339999999999996,1.0089598604503578,5
Multi-AT,pgd20_ce,automobile,66.98,0.8105553651663812,5
Multi-AT,pgd20_ce,bird,29.080000000000002,1.1649034294738763,5
Multi-AT,pgd20_ce,cat,15.120000000000001,2.1580083410404143,5
Multi-AT,pgd20_ce,deer,23.46,1.0968135666557006,5
Multi-AT,pgd20_ce,dog,36.62,2.0596116138728675,5
Multi-AT,pgd20_ce,frog,46.54,3.1341665558805247,5
Multi-AT,pgd20_ce,horse,57.32000000000001,0.9257429448826469,5
Multi-AT,pgd20_ce,ship,63.379999999999995,2.2264321233758775,5
Multi-AT,pgd20_ce,truck,58.839999999999996,1.361249426078848,5
Multi-AT,pgd_l2,airplane,74.84,0.6348228099241569,5
Multi-AT,pgd_l2,automobile,85.22,0.9284395510748146,5
Multi-AT,pgd_l2,bird,53.94000000000001,1.6831518053936805,5
Multi-AT,pgd_l2,cat,40.08,4.589880172727824,5
Multi-AT,pgd_l2,deer,56.94,1.4223220451079261,5
Multi-AT,pgd_l2,dog,59.4,2.220360331117452,5
Multi-AT,pgd_l2,frog,76.4,2.456623699307653,5
Multi-AT,pgd_l2,horse,78.36,0.7987490219086395,5
Multi-AT,pgd_l2,ship,86.02000000000001,0.7854934754662154,5
Multi-AT,pgd_l2,truck,81.0,1.0816653826391933,5
Multi-AT,tpgd,airplane,73.64,0.6949820141557587,5
Multi-AT,tpgd,automobile,82.78,0.5585696017507581,5
Multi-AT,tpgd,bird,55.92,1.7782013384316189,5
Multi-AT,tpgd,cat,39.0,4.014349262333809,5
Multi-AT,tpgd,deer,53.34000000000001,1.839293342563935,5
Multi-AT,tpgd,dog,60.4,1.5033296378372893,5
Multi-AT,tpgd,frog,72.11999999999999,2.2509997778764936,5
Multi-AT,tpgd,horse,76.18,0.27748873851023126,5
Multi-AT,tpgd,ship,79.54,1.4010710188994682,5
Multi-AT,tpgd,truck,76.66,0.33615472627943194,5
PGD-AT,cw_l2,airplane,69.24,1.9565275362232948,5
PGD-AT,cw_l2,automobile,83.6,1.5132745950421613,5
PGD-AT,cw_l2,bird,45.339999999999996,1.569394787808342,5
PGD-AT,cw_l2,cat,29.82,2.541062769787475,5
PGD-AT,cw_l2,deer,41.959999999999994,3.0113120064184664,5
PGD-AT,cw_l2,dog,50.8,2.7175356483402395,5
PGD-AT,cw_l2,frog,71.62,0.8757853618324533,5
PGD-AT,cw_l2,horse,75.16,1.5274161188098045,5
PGD-AT,cw_l2,ship,81.82,2.2398660674245656,5
PGD-AT,cw_l2,truck,76.36,2.034207462379395,5
PGD-AT,ddn_l2,airplane,65.64,1.8049930747789629,5
PGD-AT,ddn_l2,automobile,80.88,1.6053037095826994,5
PGD-AT,ddn_l2,bird,44.339999999999996,1.5109599597606798,5
PGD-AT,ddn_l2,cat,29.620000000000005,3.047457957052074,5
PGD-AT,ddn_l2,deer,42.72,2.9482198018465335,5
PGD-AT,ddn_l2,dog,48.28,2.586890024720804,5
PGD-AT,ddn_l2,frog,71.05999999999999,0.7797435475847131,5
PGD-AT,ddn_l2,horse,73.72,1.4184498581197662,5
PGD-AT,ddn_l2,ship,77.02000000000001,2.4651571957990868,5
PGD-AT,ddn_l2,truck,73.3,1.7044060549059343,5
PGD-AT,deepfool_l2,airplane,69.52,1.9331321734428792,5
PGD-AT,deepfool_l2,automobile,83.16,1.781291666179351,5
PGD-AT,deepfool_l2,bird,46.019999999999996,2.1463923220138486,5
PGD-AT,deepfool_l2,cat,29.639999999999997,2.274423003752821,5
PGD-AT,deepfool_l2,deer,41.08,4.203807797699602,5
PGD-AT,deepfool_l2,dog,50.34,2.6292584505902044,5
PGD-AT,deepfool_l2,frog,72.5,0.768114574786864,5
PGD-AT,deepfool_l2,horse,75.22,1.235718414526539,5
PGD-AT,deepfool_l2,ship,81.5,1.8828170383762728,5
PGD-AT,deepfool_l2,truck,75.97999999999999,1.588080602488424,5
PGD-AT,fgsm_rs,airplane,74.86,1.527416118809805,5
PGD-AT,fgsm_rs,automobile,86.66,1.1802542099056408,5
PGD-AT,fgsm_rs,bird,50.32,1.158447236605967,5
PGD-AT,fgsm_rs,cat,38.32,2.309112383579457,5
PGD-AT,fgsm_rs,deer,52.96,2.93649450876381,5
PGD-AT,fgsm_rs,dog,55.739999999999995,3.231563089280478,5
PGD-AT,fgsm_rs,frog,77.76,0.7861297602813422,5
PGD-AT,fgsm_rs,horse,77.82000000000001,1.380941707676323,5
PGD-AT,fgsm_rs,ship,85.58,1.360882066896324,5
PGD-AT,fgsm_rs,truck,79.88000000000001,1.7569860557215613,5
PGD-AT,mifgsm,airplane,59.32000000000001,2.305862094748946,5
PGD-AT,mifgsm,automobile,73.86,1.0807404868884982,5
PGD-AT,mifgsm,bird,34.04,1.5614096195425484,5
PGD-AT,mifgsm,cat,21.8,2.289104628451919,5
PGD-AT,mifgsm,deer,30.360000000000003,1.7429859437184203,5
PGD-AT,mifgsm,dog,40.22,1.9778776504121791,5
PGD-AT,mifgsm,frog,57.44,1.0237187113655795,5
PGD-AT,mifgsm,horse,63.58,1.1031772296417275,5
PGD-AT,mifgsm,ship,67.64,2.0935615586841463,5
PGD-AT,mifgsm,truck,62.82000000000001,2.012958022413783,5
PGD-AT,pgd20_ce,airplane,58.0,2.2792542640082982,5
PGD-AT,pgd20_ce,automobile,72.82000000000001,1.302689525558568,5
PGD-AT,pgd20_ce,bird,32.739999999999995,1.7572706109191043,5
PGD-AT,pgd20_ce,cat,20.14,2.345847394866087,5
PGD-AT,pgd20_ce,deer,27.860000000000003,1.5436968614336168,5
PGD-AT,pgd20_ce,dog,39.12,1.9841874911408972,5
PGD-AT,pgd20_ce,frog,55.0,1.113552872566009,5
PGD-AT,pgd20_ce,horse,62.3,1.1247221879201985,5
PGD-AT,pgd20_ce,ship,65.8,2.4758836806279914,5
PGD-AT,pgd20_ce,truck,61.02,2.082546518087894,5
PGD-AT,pgd_l2,airplane,69.64,1.9578048932414065,5
PGD-AT,pgd_l2,automobile,83.24,1.4293355099485865,5
PGD-AT,pgd_l2,bird,47.62,1.1945710527214362,5
PGD-AT,pgd_l2,cat,34.2,2.5049950099750706,5
PGD-AT,pgd_l2,deer,48.22,3.369272918598313,5
PGD-AT,pgd_l2,dog,51.3,2.6448062310876366,5
PGD-AT,pgd_l2,frog,74.3,0.43588989435406916,5
PGD-AT,pgd_l2,horse,75.72,1.2029131306956393,5
PGD-AT,pgd_l2,ship,82.2,1.481553239002903,5
PGD-AT,pgd_l2,truck,76.26,1.714059508885265,5
PGD-AT,tpgd,airplane,75.68,1.3754999091239526,5
PGD-AT,tpgd,automobile,85.58,0.6610597552415318,5
PGD-AT,tpgd,bird,56.64,1.6562004709575489,5
PGD-AT,tpgd,cat,40.7,1.467991825590321,5
PGD-AT,tpgd,deer,51.7,2.5455844122715723,5
PGD-AT,tpgd,dog,58.92,1.9791412279066865,5
PGD-AT,tpgd,frog,75.76,0.6426507605223829,5
PGD-AT,tpgd,horse,78.14,0.7635443667528427,5
PGD-AT,tpgd,ship,81.38,1.3535139452550875,5
PGD-AT,tpgd,truck,77.86,1.6272676485446436,5
